city,name,value,color
上海,1号线,38.18,#E3022A
上海,2号线,60.56,#82BF24
上海,3号线,40.34,#82BF24
上海,4号线,22.03,#461D85
上海,5号线,37.38,#944B9A
上海,6号线,33.09,#E20066
上海,7号线,44.37,#EC6E00
上海,8号线,37.5,#0095D9
上海,9号线,64.4,#87C9EC
上海,10号线,46.02,#C7AFD3
上海,11号线,82.39,#861A2A
上海,12号线,40.42,#00785F
上海,13号线,38.83,#E799C0
上海,14号线,38.51,#616020
上海,15号线,42.3,#CAB48F
上海,16号线,58.96,#98D1C0
上海,17号线,35.34,#BC7970
上海,18号线,36.93,#C4984F
上海,浦江线,6.69,#B6B6B6
上海,磁浮线,30.5,#0E7572
北京,1号线,31,#A4343A
北京,2号线,23.1,#004B87
北京,4号线,28.2,#008C95
北京,5号线,27.6,#AA0061
北京,6号线,53.1,#B58500
北京,7号线,40.3,#FFC56E
北京,8号线,51.6,#009B77
北京,9号线,16.5,#97D700
北京,10号线,57.1,#0092BC
北京,11号线,4.2,#FF8674
北京,13号线,40.9,#F4DA40
北京,14号线,50.8,#CA9A8E
北京,15号线,41.4,#653279
北京,16号线,45.5,#6BA539
北京,17号线,15.8,#00ABAB
北京,19号线,20.9,#D3A3C9
北京,八通线,23.4,#A4343A
北京,大兴线,21.8,#008C95
北京,亦庄线,23.2,#D0006F
北京,昌平线,43.5,#D986BA
北京,房山线,31.8,#D86018
北京,燕房线,14.4,#D86018
北京,S1线,10.2,#A45A2A
北京,首都机场线,30,#A192B2
北京,大兴机场线,41.36,#0049A5
广州,1号线,18.4,#f3d03e
广州,2号线,31.8,#00629b
广州,3号线,65.31,#eca154
广州,4号线,56.2,#00843d
广州,5号线,31.9,#c5003e
广州,6号线,42,#80225f
广州,7号线,32.05,#97d700
广州,8号线,33.9,#008c95
广州,9号线,20.1,#71cc98
广州,13号线,28.3,#8e8c13
广州,14号线,76.3,#81312f
广州,18号线,58.3,#0047ba
广州,21号线,61.5,#201747
广州,22号线,18.2,#cd5228
广州,广佛线,39.6,#c4d600
广州,APM线,4,#00b5e2
深圳,1号线,41,#00ab39
深圳,2号线,39.78,#db6d1c
深圳,3号线,43.45,#00a2e1
深圳,4号线,31.3,#dc241f
深圳,5号线,47.4,#9950b2
深圳,6号线,55.53,#3abca8
深圳,7号线,30.1,#0035ad
深圳,8号线,12.37,#db6d1c
深圳,9号线,36.18,#846e74
深圳,10号线,29.34,#f8779e
深圳,11号线,52.91,#6a1d44
